phi1 phi2 depth orientation nfa octave
0.713903 0.0295071 2067 1 50.6543 0
4.58109 -0.00955541 2079 -1 48.6228 0
0.479528 -0.0876804 2228 1 42.0162 0
0.245153 0.107632 2171 -1 50.9432 0
0.557653 0.107632 2172 -1 52.4095 0
0.518591 0.0685696 2154 -1 51.0556 0
-3.15328 0.185757 2105 1 51.7153 0
2.47172 -0.634555 2113 1 46.4441 0
2.47172 -1.92362 2046 -1 48.4448 0
1.49515 0.107632 2095 1 49.8467 0
1.10453 0.185757 2099 1 51.5136 0
-3.58297 0.0295071 2097 1 47.7982 0
2.47172 -1.76737 2108 1 43.667 0
2.43265 0.107632 2026 1 50.385 0
1.88578 2.09982 2080 -1 46.7621 0
2.47172 -1.84549 2090 1 47.4921 0
0.479528 0.576382 2267 1 35.841 0
2.23734 0.0685696 2336 1 44.4102 0
0.987341 0.38107 2076 -1 50.8156 0
0.440466 4.48263 2091 1 49.1584 0
1.49515 -0.165805 2184 -1 40.7114 0
0.65573 0.244695 2583 1 25.2501 0
0.890105 0.47907 2663 -1 25.1415 0
0.733855 0.0884448 2675 1 30.4983 0
0.772918 0.283757 2510 -1 38.3723 0
0.733855 0.63532 2465 -1 28.8985 0
2.45261 0.63532 2463 -1 37.9739 0
1.00729 0.32282 2466 -1 40.6189 0
0.538543 0.752507 2535 1 37.3216 0
0.81198 1.06501 2539 1 42.0746 0
0.733855 0.205632 2537 1 45.7692 0
0.304168 0.400945 2484 -1 32.8624 0
-0.12552 2.23688 2486 -1 45.2963 0
0.694793 0.440007 2484 -1 48.4859 0
0.49948 0.283757 2377 -1 45.9749 0
0.733855 -4.48187 2442 -1 46.2685 0
0.81198 0.32282 2441 -1 50.5812 0
1.55417 0.205632 2406 -1 35.633 0
1.86667 0.0884448 2639 1 38.8679 0
2.14011 0.674382 2642 1 43.5214 0
0.772918 0.557195 2409 -1 45.4879 0
0.772918 -1.66937 2420 -1 46.9174 0
0.733855 0.283757 2407 -1 53.2774 0
0.49948 0.205632 2295 -1 49.0744 0
-3.09427 0.283757 2286 -1 45.9475 0
0.733855 0.400945 2293 -1 49.9594 0
0.733855 0.32282 2495 1 38.6841 0
0.65573 0.283757 2286 1 49.645 0
0.733855 0.47907 2323 -1 47.1586 0
1.10568 -1.3785 2943 -1 2.29844 0
1.37911 -0.870689 2941 -1 15.8457 0
1.53536 -1.26131 2950 -1 35.7112 0
1.10568 -0.870689 2663 1 27.2629 0
1.14474 -1.066 2634 -1 14.7928 0
1.4963 -0.792564 2635 -1 38.8462 0
1.02755 -0.870689 2600 1 33.2591 0
0.988488 -0.870689 2616 1 31.6911 0
1.10568 -0.987876 2547 -1 29.9953 0
0.675988 -0.792564 2890 1 34.726 0
1.02755 -0.753501 2889 1 43.7489 0
0.910363 -0.870689 2915 -1 37.4804 0
1.06661 -1.066 2825 1 26.7797 0
1.4963 -0.987876 2759 1 38.395 0
1.4963 -0.792564 2756 1 46.7745 0
0.910363 -0.987876 2719 -1 43.2413 0
2.08224 -1.066 2755 1 39.1713 0
1.06661 -0.792564 2561 1 45.8566 0
1.10568 -0.870689 2758 1 48.6081 0
1.22286 -1.49569 2826 1 41.7896 0
1.10568 -0.792564 2826 1 48.5774 0
1.1838 -1.33944 2845 -1 13.1364 0
1.45724 -1.18319 2869 1 26.6882 0
0.988488 -0.792564 2536 -1 46.2498 0
1.30099 -0.753501 2744 -1 40.2363 0
1.30099 -1.14413 2841 -1 38.4085 0
0.910363 -1.02694 2792 -1 45.0736 0
1.34005 -0.792564 2841 -1 50.184 0
-0.3787 -0.948814 2791 -1 42.6223 0
1.26193 -0.948814 2794 -1 43.9636 0
1.57443 -1.3785 2689 -1 19.525 0
1.26193 -1.18319 2781 -1 33.3595 0
1.34005 -0.675376 2805 1 38.0011 0
1.4963 -0.831626 2783 -1 48.7493 0
-0.886512 -0.831626 2709 1 42.0474 0
0.949425 -0.753501 2707 1 45.9701 0
0.949425 -0.792564 2854 1 37.6233 0
1.1838 -0.987876 2730 -1 33.2245 0
1.10568 -0.597251 2856 1 44.0323 0
1.06661 -0.714439 2907 1 42.4931 0
1.10568 -1.37965 2943 -1 2.35843 0
1.30099 -1.37965 3119 -1 -3.02515 0
1.8088 -2.19996 3119 -1 22.3662 0
1.1838 -1.34059 2845 -1 13.1336 0
1.1838 -1.45777 3161 1 15.7803 0
1.1838 -1.14527 2972 1 18.5215 0
0.910363 -1.5359 2973 1 30.6829 0
1.8088 -1.45777 3089 1 17.9359 0
1.37911 -1.8484 3088 1 18.6703 0
3.0588 -0.79371 3090 1 41.3961 0
0.910363 -1.30152 3087 1 45.9338 0
1.10568 -1.02809 3091 1 50.644 0
1.37911 -1.37965 3016 1 23.1346 0
1.34005 -1.30152 3010 1 36.2222 0
1.65255 -1.37965 3190 -1 8.47241 0
1.65255 -1.37965 3184 -1 30.5664 0
1.10568 -1.37965 3032 -1 31.5405 0
1.22286 -1.2234 2828 1 24.5168 0
1.37911 -1.61402 3183 -1 38.2197 0
1.34005 -1.30152 2871 1 27.4928 0
1.10568 -1.73121 3186 -1 47.8231 0
1.06661 -1.69215 2871 1 38.2148 0
1.10568 -1.30152 2899 1 40.1597 0
1.14474 -1.30152 3060 1 39.5781 0
1.26193 -1.45777 2913 -1 39.2963 0
0.949425 -1.18434 2987 1 36.3028 0
1.30099 -1.34059 3051 1 43.8361 0
1.88693 -1.37965 3141 -1 48.5594 0
1.4963 -1.18434 3138 -1 48.3316 0
1.57443 -1.41871 3136 -1 51.992 0
1.34005 -1.30152 2784 -1 28.2335 0
1.10568 -1.37965 3001 -1 47.2111 0
0.910363 -1.77027 2801 -1 42.1857 0
0.636925 -5.2859 3134 -1 51.9491 0
1.14474 -1.41871 2801 -1 44.2267 0
1.3204 -1.32079 3118 -1 -2.64722 0
1.12509 -1.75047 3118 -1 25.7898 0
1.6329 -0.969224 3117 -1 22.4492 0
1.16415 -1.24266 3221 1 15.6245 0
1.08603 -1.24266 3266 -1 23.2849 0
1.75009 -1.39891 3088 1 17.239 0
1.3204 -1.78954 3087 1 20.4021 0
1.04697 -1.16454 3088 1 45.4907 0
1.04697 -1.04735 3348 1 30.7319 0
0.929779 -1.28172 3350 1 43.7977 0
1.24228 -1.35985 3400 1 16.8123 0
1.24228 -1.32079 3184 -1 25.0972 0
1.35947 -1.32079 3446 1 19.561 0
1.20322 -1.47704 3161 1 15.3987 0
1.04697 -1.71141 3446 1 30.2728 0
1.04697 0.983901 3448 1 44.7654 0
1.75009 -2.02391 3445 1 37.4695 0
1.04697 -1.2036 3455 1 51.4761 0
1.16415 -1.16454 3318 -1 38.2645 0
1.04697 -5.18797 3448 1 53.1052 0
1.28134 -1.24266 3167 1 40.0223 0
1.43759 -1.59422 3168 1 45.2274 0
1.39853 -1.2036 3244 -1 32.0161 0
1.39853 -1.67235 3243 -1 36.4932 0
1.12509 -1.24266 3414 -1 40.0177 0
1.16415 -1.24266 3059 1 39.591 0
1.24228 -1.28172 3367 -1 36.8784 0
1.08603 -1.2036 3278 1 44.7648 0
1.04697 -1.59422 3242 -1 46.411 0
-1.06241 -0.500474 3246 -1 46.3315 0
1.24228 -1.28172 3033 -1 26.0557 0
1.35947 -1.24266 3038 -1 41.3749 0
0.851654 -1.32079 3423 1 43.9727 0
1.04697 -1.28172 3235 -1 50.8722 0
1.0079 -1.24266 3133 -1 47.7969 0
0.773529 -1.28172 3296 1 46.1721 0
1.08603 -1.16454 3295 1 42.4797 0
1.04697 -1.2036 3047 1 45.234 0
0.948814 -0.851425 3653 -1 29.0031 0
0.792564 -0.734237 3579 -1 32.8006 0
0.831626 -1.00767 3490 1 37.8067 0
0.753501 -0.92955 3310 -1 38.5117 0
0.675376 -0.695175 3501 1 29.9424 0
1.76913 -0.656112 3511 1 34.741 0
1.57381 -1.00767 3511 1 39.2362 0
0.753501 -0.851425 3684 -1 39.533 0
0.909751 -0.7733 3511 1 46.4421 0
0.870689 -0.968612 3514 1 46.5027 0
0.0113136 -0.92955 3499 1 49.5539 0
1.18319 -0.92955 3502 1 51.3933 0
0.401939 -1.12486 3610 -1 28.9417 0
1.10506 -1.12486 3350 1 30.6069 0
0.753501 -0.890487 3610 -1 41.4762 0
0.909751 -0.968612 3618 -1 43.1343 0
0.987876 -0.538925 3434 1 25.7453 0
0.714439 -0.890487 3553 -1 43.45 0
0.948814 -0.890487 3721 -1 16.1486 0
0.909751 -0.7733 3431 1 41.3298 0
0.558189 -0.890487 3433 1 46.2331 0
1.066 -1.04674 3666 -1 32.6531 0
0.987876 -1.51549 3665 -1 46.0801 0
0.987876 -1.00767 3452 1 35.8419 0
0.831626 -0.890487 3381 -1 45.6851 0
0.675376 -0.61705 3287 1 37.4125 0
0.792564 -1.0858 3475 -1 43.6076 0
0.753501 -0.890487 3286 1 51.8926 0
0.792564 -2.92174 3702 -1 48.0608 0
0.636314 -0.851425 3386 1 39.0866 0
0.831626 -0.92955 3702 -1 50.2372 0
0.362876 -1.7108 3387 1 39.08 0
0.792564 -0.695175 3416 1 43.2758 0
0.441001 -0.968612 3388 1 48.4998 0
0.792564 -0.61705 3330 -1 43.1275 0
1.18319 1.02358 3394 1 47.2714 0
0.792564 0.906388 3329 -1 48.4768 0
0.714439 -1.16392 3641 -1 43.5623 0
0.792564 -0.92955 3639 -1 48.4207 0
0.831626 -0.7733 3458 -1 33.9724 0
2.39413 0.0079501 3371 1 42.2577 0
0.792564 -4.87486 3394 1 52.0426 0
0.909751 -0.577987 3370 1 47.0808 0
-1.19962 -0.890487 3320 -1 46.1673 0
0.831626 -4.48424 3330 -1 48.4098 0
1.30122 -1.32094 3871 -1 0.287695 0
1.30122 -1.32094 3850 1 4.13054 0
1.4184 -1.32094 3956 -1 9.55537 0
1.26215 -1.32094 3730 -1 21.883 0
1.14497 -1.28188 3768 -1 21.1113 0
1.4184 -1.36 3565 -1 26.5765 0
1.37934 -1.24281 3661 -1 26.2502 0
1.30122 -1.28188 3937 1 28.6947 0
1.30122 -1.32094 3889 -1 33.4197 0
1.22309 -1.32094 3671 -1 36.0457 0
1.14497 -1.16469 3906 1 35.0956 0
0.988717 -1.59438 3613 -1 36.8155 0
1.1059 -0.969377 3615 -1 41.6891 0
1.34028 -1.39906 3787 1 38.7416 0
5.09028 -3.70375 3615 -1 43.0766 0
0.871529 -2.80531 3613 -1 46.3403 0
1.14497 -5.22719 3609 -1 49.4563 0
0.910592 -1.36 3647 -1 39.3462 0
1.22309 -1.32094 3581 -1 49.8275 0
