phi1 phi2 depth orientation nfa octave
1.11546 -1.35029 2972 1 28.5537 1
1.42796 -1.42842 3016 1 20.2097 1
1.27171 -1.89717 3088 1 32.4448 1
1.19358 -1.27217 3032 -1 27.3567 1
1.11546 -1.27217 3090 1 51.4789 1
1.42796 -1.58467 3450 1 20.8995 1
1.27171 -1.42842 3354 1 24.6257 1
1.27171 -1.27217 2870 1 27.2976 1
1.11546 -1.27217 2898 1 33.9183 1
1.27171 -1.27217 3242 -1 18.8988 1
1.58421 -1.35029 2690 -1 22.3429 1
1.58421 -1.66279 3436 1 35.7103 1
1.19358 -1.27217 3366 -1 40.0042 1
1.27171 -1.35029 3184 -1 30.0948 1
1.19358 -1.19404 3316 -1 32.232 1
1.19358 -1.19404 3058 1 37.7825 1
1.50608 -1.27217 2782 -1 27.3482 1
1.58421 -1.42842 2764 1 35.3376 1
1.19358 -1.35029 3068 -1 49.0802 1
2.05296 -1.58467 2580 1 41.342 1
1.27171 -1.50654 2584 1 44.9735 1
0.881085 -1.35029 3296 1 38.0256 1
1.03733 -1.19404 2598 1 49.3867 1
1.50608 -1.19404 3136 -1 46.6333 1
1.11546 -1.19404 2546 -1 32.861 1
1.11546 -1.27217 2556 1 50.075 1
1.27186 -1.38943 3116 -1 -1.60593 1
1.27186 -1.38943 3468 -1 1.9473 1
1.34999 -1.31131 3870 -1 3.79477 1
1.27186 -1.38943 3848 1 5.31655 1
1.34999 -1.31131 3400 1 15.0028 1
1.19374 -1.23318 3220 1 14.6914 1
1.27186 -1.46756 3160 1 13.5298 1
1.19374 -1.31131 3264 -1 19.3652 1
1.11561 -1.23318 3768 -1 20.4403 1
1.34999 -1.54568 3448 1 21.4474 1
1.42811 -1.46756 3094 1 17.9033 1
1.34999 -1.31131 3728 -1 22.3753 1
1.27186 -1.38943 3354 1 25.8005 1
1.27186 -1.31131 3242 -1 19.5858 1
1.11561 -1.23318 3364 -1 35.2468 1
1.58436 -1.46756 3188 -1 13.0913 1
1.27186 -1.46756 3520 1 29.985 1
1.34999 -1.31131 3660 -1 28.5199 1
1.50624 -1.46756 3940 1 24.6022 1
1.34999 -1.62381 3182 -1 47.8501 1
1.50624 -1.46756 3886 -1 33.0182 1
1.19374 -1.38943 3068 -1 38.2946 1
1.11561 -1.54568 3564 -1 36.0993 1
1.19374 -1.23318 3692 -1 35.8966 1
1.11561 -1.15506 3906 1 35.7876 1
1.11561 -1.38943 3790 1 40.6907 1
1.19374 -1.15506 3316 -1 32.1221 1
1.27186 -1.46756 3608 -1 41.0626 1
1.34999 -1.38943 3498 1 45.8712 1
1.03749 -1.38943 3806 1 44.7358 1
1.42811 -1.15506 3138 -1 41.28 1
1.34999 -1.38943 3548 1 50.1471 1
0.881238 -1.31131 3296 1 36.4565 1
1.58436 -1.31131 3638 -1 46.5941 1
1.42811 -1.46756 3922 -1 44.237 1
1.27202 -1.38959 3848 1 5.31438 1
1.35014 -1.31146 3870 -1 3.7941 1
1.27202 -1.46771 3986 1 9.00423 1
1.42827 -1.31146 3956 -1 11.0179 1
1.27202 -1.31146 4044 -1 20.146 1
1.50639 -1.46771 4020 -1 12.6891 1
1.35014 -1.31146 3728 -1 22.3752 1
1.35014 -1.46771 3940 1 25.4516 1
1.27202 -1.54584 3664 -1 32.0634 1
1.35014 -1.31146 3888 -1 31.6016 1
1.11577 -1.23334 3768 -1 20.44 1
1.27202 -1.46771 3564 -1 36.8095 1
1.27202 -1.46771 3608 -1 41.0626 1
1.50639 -1.46771 3786 1 39.9919 1
1.27202 -1.38959 4100 1 42.7913 1
-0.0561093 0.0166646 4294 1 -38.2701 1
-0.0561093 0.0166646 4306 1 -32.1377 1
-0.0561093 0.0166646 4320 1 -27.7715 1
-0.0561093 0.0166646 4332 1 -26.188 1
-0.0561093 0.0166646 4344 1 -22.9052 1
-0.0561093 0.0166646 4356 1 -19.9363 1
-0.0561093 -0.0614604 4370 1 -18.3032 1
-0.0561093 -0.0614604 4382 1 -16.7901 1
-0.0561093 -0.0614604 4396 1 -14.2417 1
-0.0561093 -0.0614604 4408 1 -11.0014 1
-0.0561093 -0.0614604 4420 1 -7.24946 1
-0.0561093 -0.0614604 4432 1 -2.95794 1
-0.0561093 -0.139585 4446 1 0.914442 1
-0.0561093 0.0947896 4246 1 -6.1201 1
-0.0561093 0.0947896 4234 1 3.17894 1
-0.0561093 0.0166646 4270 1 0.344827 1
1.27202 -1.46771 4248 1 46.8006 1
-0.290484 0.0947896 4214 1 22.936 1
-0.368609 0.485415 4192 1 25.478 1
11.3501 -2.48334 4252 1 48.674 1
1.11577 -0.99896 4064 -1 37.6068 1
4.00639 -1.07709 4260 1 51.6794 1
1.19389 -1.23334 3692 -1 35.8961 1
1.42827 -1.46771 3922 -1 39.6171 1
